City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,26.21,76,20,4.66,MU,1702171797
1,blackmans bay,-43.0167,147.3167,19.74,43,0,2.75,AU,1702171782
2,puerto ayora,-0.7393,-90.3518,24.19,96,41,2.24,EC,1702171784
3,dudinka,69.4058,86.1778,-31.85,96,99,1.34,RU,1702171858
4,waitangi,-43.9535,-176.5597,14.9,90,100,3.13,NZ,1702171619
5,sarikamis,40.3381,42.5731,0.19,99,100,2.7,TR,1702171896
6,bethel,41.3712,-73.414,9.55,87,100,1.54,US,1702171783
7,ilulissat,69.2167,-51.1,-5.99,79,100,4.63,GL,1702171775
8,keflavik,64.0049,-22.5624,1.24,86,0,3.09,IS,1702171543
9,ribeira grande,38.5167,-28.7,19.32,89,100,7.15,PT,1702171776
10,puerto natales,-51.7236,-72.4875,8.05,94,100,1.45,CL,1702171785
11,ad dilam,23.9915,47.1627,16.23,29,1,2.22,SA,1702171896
12,vila velha,-20.3297,-40.2925,22.97,95,75,5.14,BR,1702171476
13,ust'-ilimsk,58.0006,102.6619,-32.1,99,85,1.79,RU,1702171897
14,iskateley,67.6803,53.1512,-27.21,92,12,2.68,RU,1702171851
15,port alfred,-33.5906,26.891,13.99,94,100,0.89,ZA,1702171482
16,grytviken,-54.2811,-36.5092,3.86,86,23,4.72,GS,1702171778
17,west island,-12.1568,96.8225,26.99,78,40,7.2,CC,1702171778
18,port-aux-francais,-49.35,70.2167,3.09,80,99,12.22,TF,1702171779
19,wanning,18.8003,110.3967,26.35,71,56,2.83,CN,1702171897
20,isafjordur,66.0755,-23.124,-2.46,87,75,2.23,IS,1702171828
21,la ronge,55.1001,-105.2842,-12.86,85,0,1.03,CA,1702171874
22,mount pearl,47.5166,-52.7813,1.64,88,75,9.26,CA,1702171495
23,illizi,26.4833,8.4667,7.89,55,0,2.54,DZ,1702171812
24,midelt,32.6852,-4.7451,10.73,56,14,1.02,MA,1702171898
25,santa cruz,-17.8,-63.1667,27.7,74,67,4.12,BO,1702171503
26,alice springs,-23.7,133.8833,14.75,88,100,8.75,AU,1702171183
27,port lincoln,-34.7333,135.8667,13.55,89,100,12.26,AU,1702171491
28,moramanga,-18.9333,48.2,18.58,98,96,0.17,MG,1702171898
